,number,value,datetime_start,datetime_complete,duration,params_Tu,params_Tv,system_attrs_fail_reason,state
80,80,296784656.3432903,2022-01-14 10:32:33.213397,2022-01-14 10:32:36.089406,0 days 00:00:02.876009,12.312818661849077,18413041.62395262,,COMPLETE
81,81,52381674.31156612,2022-01-14 10:32:36.240905,2022-01-14 10:32:38.843597,0 days 00:00:02.602692,19.10689281871439,3249613.780173936,,COMPLETE
82,82,4455428.071649251,2022-01-14 10:32:38.996209,2022-01-14 10:32:42.247010,0 days 00:00:03.250801,8.07358339320465,276388.6987809739,,COMPLETE
83,83,873936.1853720149,2022-01-14 10:32:42.387064,2022-01-14 10:32:47.088668,0 days 00:00:04.701604,2.964874386755435,54255.601617159315,,COMPLETE
84,84,96905892.11791517,2022-01-14 10:32:47.269818,2022-01-14 10:32:49.820978,0 days 00:00:02.551160,3.3571467807112683,6012273.024201781,,COMPLETE
85,85,604744899.924752,2022-01-14 10:32:50.003954,2022-01-14 10:32:52.527119,0 days 00:00:02.523165,15.32220083449127,37519462.43945283,,COMPLETE
86,86,41317393.48854324,2022-01-14 10:32:52.656228,2022-01-14 10:32:55.582367,0 days 00:00:02.926139,11.73533512285572,2563337.1267235395,,COMPLETE
87,87,1429084.5875961555,2022-01-14 10:32:55.753081,2022-01-14 10:32:58.984165,0 days 00:00:03.231084,3.435075947972308,88693.55421638348,,COMPLETE
88,88,1241842188.251036,2022-01-14 10:32:59.148733,2022-01-14 10:33:01.453668,0 days 00:00:02.304935,2.823503129864097,77046494.53516336,,COMPLETE
89,89,197226670.6488539,2022-01-14 10:33:01.632915,2022-01-14 10:33:04.197401,0 days 00:00:02.564486,21.34101209067458,12236044.462406188,,COMPLETE
90,90,86110563.61360946,2022-01-14 10:33:04.353747,2022-01-14 10:33:05.519704,0 days 00:00:01.165957,31.021616124062668,5341925.85449192,,COMPLETE
91,91,155013222.92946097,2022-01-14 10:33:05.643427,2022-01-14 10:33:09.111164,0 days 00:00:03.467737,7.347859923789814,9617317.814156644,,COMPLETE
92,92,39866623.291502275,2022-01-14 10:33:09.254558,2022-01-14 10:33:27.888236,0 days 00:00:18.633678,3.8897882324991473,2473433.0962300734,,COMPLETE
93,93,37772700.262706205,2022-01-14 10:33:28.026456,2022-01-14 10:33:30.301731,0 days 00:00:02.275275,14.66798335028866,2343349.677063882,,COMPLETE
94,94,2183265.251928119,2022-01-14 10:33:30.443988,2022-01-14 10:33:32.818559,0 days 00:00:02.374571,17.69157551833871,135234.92283219117,,COMPLETE
95,95,98471055.97014008,2022-01-14 10:33:32.958853,2022-01-14 10:33:34.829781,0 days 00:00:01.870928,24.561493507905954,6108960.155372465,,COMPLETE
96,96,1301228670.985207,2022-01-14 10:33:34.953710,2022-01-14 10:33:35.723632,0 days 00:00:00.769922,73.19974918978068,80729297.79147859,,COMPLETE
97,97,134875382.66030124,2022-01-14 10:33:35.852422,2022-01-14 10:33:37.847351,0 days 00:00:01.994929,16.885388782717232,8367748.065911743,,COMPLETE
98,98,58624298.99819057,2022-01-14 10:33:37.974778,2022-01-14 10:33:38.907374,0 days 00:00:00.932596,53.191877039802186,3636059.050120094,,COMPLETE
99,99,2291207.6534451456,2022-01-14 10:33:39.054691,2022-01-14 10:33:41.526295,0 days 00:00:02.471604,23.284104502158037,141795.5719918517,,COMPLETE
100,100,202383.6703528887,2022-01-14 10:33:41.654886,2022-01-14 10:33:44.810257,0 days 00:00:03.155371,19.055339052954277,12301.940719841085,,COMPLETE
101,101,187901248.43404964,2022-01-14 10:33:44.953189,2022-01-14 10:33:46.441745,0 days 00:00:01.488556,20.833072053203182,11657488.847366167,,COMPLETE
102,102,38961424.74643028,2022-01-14 10:33:46.575406,2022-01-14 10:33:48.977939,0 days 00:00:02.402533,17.79171333598603,2417025.7582032704,,COMPLETE
103,103,87191606.67008151,2022-01-14 10:33:49.150406,2022-01-14 10:33:51.511104,0 days 00:00:02.360698,11.737852266313828,5409468.162982482,,COMPLETE
104,104,2053130.1868665963,2022-01-14 10:33:51.678281,2022-01-14 10:33:53.304144,0 days 00:00:01.625863,26.29196139809512,126948.47203001278,,COMPLETE
105,105,2282707.540458023,2022-01-14 10:33:53.430076,2022-01-14 10:33:54.899888,0 days 00:00:01.469812,26.890551825612384,141176.77288470312,,COMPLETE
106,106,77131004.27942641,2022-01-14 10:33:55.038167,2022-01-14 10:33:55.789446,0 days 00:00:00.751279,65.59723010726346,4783938.823215191,,COMPLETE
107,107,126961313.28957446,2022-01-14 10:33:55.918367,2022-01-14 10:33:58.526753,0 days 00:00:02.608386,22.736688583763986,7876600.926336253,,COMPLETE
108,108,37171585.46142384,2022-01-14 10:33:58.698528,2022-01-14 10:33:59.729126,0 days 00:00:01.030598,42.65202187553038,2305355.531415096,,COMPLETE
109,109,715251596.3155369,2022-01-14 10:33:59.868391,2022-01-14 10:34:01.091697,0 days 00:00:01.223306,30.239828738678607,44375156.94282786,,COMPLETE
110,110,31477960.961719487,2022-01-14 10:34:01.247739,2022-01-14 10:34:02.119942,0 days 00:00:00.872203,58.302346184111364,1951714.5046879607,,COMPLETE
111,111,971720444.3131603,2022-01-14 10:34:02.248124,2022-01-14 10:34:03.228346,0 days 00:00:00.980222,35.27017977829631,60286887.33278879,,COMPLETE
112,112,84383482.3763679,2022-01-14 10:34:03.359619,2022-01-14 10:34:04.846853,0 days 00:00:01.487234,26.61562171930771,5234885.865886201,,COMPLETE
113,113,2741069.350360833,2022-01-14 10:34:04.978792,2022-01-14 10:34:07.240104,0 days 00:00:02.261312,18.517135338951725,169822.21983687417,,COMPLETE
114,114,3696049.555771219,2022-01-14 10:34:07.398399,2022-01-14 10:34:09.528508,0 days 00:00:02.130109,14.649390695813299,229164.11996975497,,COMPLETE
115,115,,2022-01-14 10:34:09.688871,2022-01-14 10:34:10.195654,0 days 00:00:00.506783,0.09378856399030333,3527776.3372833966,Trial 115 failed because of the following error: AssertionError(),FAIL
116,116,59855266.087440096,2022-01-14 10:36:28.171770,2022-01-14 10:36:31.610869,0 days 00:00:03.439099,8.09392820161872,3713508.931589337,,COMPLETE
117,117,32345850.89182417,2022-01-14 10:36:31.775937,2022-01-14 10:36:34.904636,0 days 00:00:03.128699,11.456159464262846,2006730.290477933,,COMPLETE
118,118,113291283.07144862,2022-01-14 10:36:35.039133,2022-01-14 10:36:36.045553,0 days 00:00:01.006420,20.054448983063903,7028551.963756719,,COMPLETE
119,119,71755000.50752304,2022-01-14 10:36:36.204378,2022-01-14 10:36:38.212792,0 days 00:00:02.008414,14.140921028392395,4451694.252292143,,COMPLETE
120,120,1417550.0993251295,2022-01-14 10:36:38.336451,2022-01-14 10:36:40.530936,0 days 00:00:02.194485,24.367108886407664,87564.46697737959,,COMPLETE
121,121,155453611.34387055,2022-01-14 10:36:40.685589,2022-01-14 10:36:41.880194,0 days 00:00:01.194605,34.115544185134105,9644033.558020012,,COMPLETE
122,122,,2022-01-14 10:36:42.040160,2022-01-14 10:36:42.403045,0 days 00:00:00.362885,0.07342328657738273,1780139.8700155907,Trial 122 failed because of the following error: AssertionError(),FAIL
123,123,34118251.07661545,2022-01-14 10:38:29.392816,2022-01-14 10:38:31.353218,0 days 00:00:01.960402,24.765884576165206,2116373.8131349487,,COMPLETE
124,124,806011.0574387411,2022-01-14 10:38:31.473832,2022-01-14 10:38:34.966800,0 days 00:00:03.492968,0.2419304320758786,50104.422079240634,,COMPLETE
125,125,1778996.1398054024,2022-01-14 10:38:35.472324,2022-01-14 10:38:40.841670,0 days 00:00:05.369346,5.15700617379328,110381.80818753329,,COMPLETE
